Car Title,Price,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Control de tracción,Capacidad de personas,Potencia,Medidas,Distancia entre ejes,Capacidad del tanque,Válvulas por cilindro,Frenos ABS,Airbag para conductor y pasajero,Tracción ASR,AM/FM,Android auto,Apple CarPlay,Aire acondicionado,Computadora de abordo,Sensor de lluvia,Porta vasos,Dirección,Alarma,Largo x Altura x Ancho,Llantas de aleación,Reproductor de MP3,Con cámara de retroceso,Techo solar eléctrico retráctil,Soporte para rueda de auxilio,Limpia/lava luneta,Porta equipaje en techo,Entrada auxiliar,Bluetooth,CD,DVD,Entrada USB,Piloto automático,Alarma de luces encendidas,Cristales eléctricos,Apertura remota de baúl,Comando remoto para radio en el volante,Climatizador,Cierre automático de vidrios,Defensa delantera,Airbag conductor,Faros con regulación automática,Sensor de estacionamiento,Faros antinieblas traseros,Desempañador trasero,Control de estabilidad,Tercera luz de freno led,Cierre centralizado de puertas,Blindado,Tapizado de cuero,Con garantía de fábrica,Con garantía mecánica,Único dueño,Con precio negociable,Acepta permuta,Tipo de batería,Capacidad de la batería,Tiempo de carga,Tipo de cargador,Autonomia de la batería,Con modo Eco,Asientos delanteros calefaccionados,Con sensor de cambio de carril,Con sensor de estacionamiento por cámara delantera,Con sensor de estacionamiento por cámara trasera,Con sistema de estacionamiento automático,Sistema ISOFIX,Aviso de punto ciego,Inspección vehicular,Largo x Altura,Entrada internacional legalizada,Con impacto positivo,,Baúl
Fiat Mobi 1.0 Trekking,19.500.000,Fiat,Mobi,2024,1.0 Trekking,Blanco,Nafta,5,Manual,1.0,Hatchback,0 km,Delantera,5,70 hp,,2304 mm,47 L,2,,,,,,,,,,,,,3596 mm x 1555 mm x 1931 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Mobi 1.0 Trekking,19.500.000,Fiat,Mobi,2024,1.0 Trekking,Negro,Nafta,5,Manual,1.0,Hatchback,0 km,Delantera,5,70 hp,,2304 mm,47 L,2,,,,,,,,,,,,,3596 mm x 1555 mm x 1931 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Fiorino 1.4 Fire Evo 87cv,9.500.000,Fiat,Fiorino,2024,1.4 Fire Evo 87cv,Blanco,Nafta,3,Manual,1.4,Furgón,0 km,Delantera,2,87 hp,,2699 mm,64 L,2,Sí,Sí,Sí,Sí,,,Sí,,,,Hidráulica,,4184 mm x 1873 mm x 1780 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Gse Drive Cvt Pack Plus,9.500.000,Fiat,Cronos,2024,1.3 Gse Drive Cvt Pack Plus,Gris,Nafta,4,Automática,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,,Sí,,,Sí,Sí,Sí,Sí,,Sí,4364 mm x 1515 mm x 1962 mm,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,
Fiat Fiorino 1.4 Fire Evo 87cv,19.900.000,Fiat,Fiorino,2024,1.4 Fire Evo 87cv,Blanco,Nafta,3,Manual,1.4,Furgón,0 km,Delantera,2,87 hp,,2699 mm,64 L,2,Sí,Sí,Sí,Sí,,,Sí,,,,Hidráulica,,4184 mm x 1873 mm x 1780 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevrolet S10 2.8 Lt Cd Tdci 200cv 4x4,34.740.000,Chevrolet,S10,2023,2.8 Lt Cd Tdci 200cv 4x4,Negro,Diésel,4,Manual,2.8,Pick-Up,0 km,4x4,5,200 hp,,2712 mm,76 L,4,Sí,Sí,Sí,,,,Sí,,,Sí,Asistida,,5367 mm x 1889 mm x 1820 mm,Sí,,,,,,,,Sí,,,Sí,Sí,,,,Sí,,,,,,,,,Sí,Sí,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,
Chevrolet S10 2.8 Ls Cd Tdci 200cv,26.290.000,Chevrolet,S10,2024,2.8 Ls Cd Tdci 200cv,Plateado,Diésel,4,Manual,2.8,Pick-Up,0 km,4x2,5,200 hp,,2709 mm,76 L,4,Sí,Sí,Sí,,,,Sí,,,Sí,,,5367 mm x 1889 mm x 1820 mm,,,,,,,,,Sí,,,Sí,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,23.300.000,Fiat,Cronos,2024,1.3 Drive Mt,Negro,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Gse Drive Cvt Pack Plus,18.900.000,Fiat,Cronos,2024,1.3 Gse Drive Cvt Pack Plus,Gris,Nafta,4,Automática,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,,,,,,,,,,,,,4364 mm x 1515 mm x 1962 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Pulse 1.3 Abarth Gse At,37.800.000,Fiat,Pulse,2024,1.3 Abarth Gse At,Gris,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,,47 L,4,Sí,Sí,,Sí,,,Sí,Sí,Sí,Sí,,Sí,,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,9.700.000,Fiat,Cronos,2024,1.3 Drive Mt,Gris,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,5.000,Fiat,Cronos,2024,1.3 Drive Mt,Gris,Nafta,4,Manual,1.3,Sedán,500 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,4.500,Fiat,Cronos,2024,1.3 Drive Mt,Rojo,Nafta,4,Manual,1.3,Sedán,500 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,8.276.000,Fiat,Cronos,2024,1.3 Drive Mt,Rojo,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,8.276.000,Fiat,Cronos,2024,1.3 Drive Mt,Gris,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Pulse 1.0 Impetus T3 Cvt,14.500.000,Fiat,Pulse,2024,1.0 Impetus T3 Cvt,Gris,Nafta,5,Automática,1.0,SUV,0 km,4x2,5,120 hp,,2532 mm,47 L,4,Sí,Sí,Sí,Sí,,,Sí,Sí,,Sí,Eléctrica,,4099 mm x 1547 mm x 1989 mm,,Sí,,,,,,,,,,,Sí,,,,Sí,,,,,Sí,Sí,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Gse Drive Pack Conectividad,5.000,Fiat,Cronos,2024,1.3 Gse Drive Pack Conectividad,Plateado,Nafta,4,Manual,1.3,Sedán,1000 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevrolet S10 2.8 Ls Cd Tdci 200cv,30.000.000,Chevrolet,S10,2024,2.8 Ls Cd Tdci 200cv,Blanco,Diésel,4,Manual,2.8,Pick-Up,0 km,4x2,5,200 hp,,2709 mm,76 L,4,Sí,Sí,Sí,,,,Sí,,,Sí,,,5367 mm x 1889 mm x 1820 mm,,,,,,,,,Sí,,,Sí,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,
Chevrolet S10 2.8 Lt Cd Tdci 200cv,36.999.999,Chevrolet,S10,2024,2.8 Lt Cd Tdci 200cv,Blanco,Diésel,4,Manual,2.8,Pick-Up,0 km,4x2,5,200 hp,,2712 mm,76 L,4,Sí,Sí,Sí,,,,Sí,,,Sí,Asistida,,5367 mm x 1889 mm x 1820 mm,Sí,,,,,,,,Sí,,,Sí,Sí,,,,,,,,,,,,,Sí,Sí,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,
Chevrolet S10 2.8 Cd 4x4 Ltz Tdci 200cv At,47.000.000,Chevrolet,S10,2024,2.8 Cd 4x4 Ltz Tdci 200cv At,Blanco,Diésel,4,Automática,2.8,Pick-Up,0 km,4x4,5,200 hp,,2709 mm,76 L,4,Sí,Sí,Sí,,,,Sí,,,Sí,Asistida,,5367 mm x 1889 mm x 1820 mm,,,,,,,,,Sí,,Sí,Sí,Sí,,,,,,,,,Sí,,,,Sí,Sí,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,18.500.000,Fiat,Cronos,2024,1.3 Drive Mt,Rojo,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.8 16v Precision,17.000.000,Fiat,Cronos,2024,1.8 16v Precision,Blanco,Nafta,4,Manual,1.8,Sedán,0 km,Delantera,5,130 hp,,2521 mm,48 L,4,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1516 mm x 1724 mm,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,
Citroën Berlingo Multispace 1.6 Sx 110cv Am54,14.800.000,Citroën,Berlingo Multispace,2014,1.6 Sx 110cv Am54,Gris,Nafta,5,Manual,1.6,Monovolumen,159299 km,Delantera,5,110 hp,,2685 mm,60 L,4,,Sí,,Sí,,,Sí,Sí,,Sí,Hidráulica,,4137 mm x 1858 mm x 1788 mm,,,,,,,Sí,,,,,,,Sí,,Sí,Sí,Sí,Sí,,,Sí,,Sí,Sí,Sí,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Pulse 1.3 Drive Gse Mt,25.500.000,Fiat,Pulse,2024,1.3 Drive Gse Mt,Plateado,Nafta,5,Manual,1.3,SUV,0 km,4x2,5,99 hp,,2532 mm,47 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,Sí,Sí,Eléctrica,Sí,4099 mm x 1547 mm x 1989 mm,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,,Sí,Sí,,,,,,,,,,,,,,,,,,,
Fiat Mobi 1.0 Trekking,9.000.000,Fiat,Mobi,2024,1.0 Trekking,Negro,Nafta,5,Manual,1.0,Hatchback,0 km,Delantera,5,70 hp,,2304 mm,47 L,2,,,,,,,,,,,,,3596 mm x 1555 mm x 1931 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Gse Drive Cvt Pack Plus,4.000,Fiat,Cronos,2024,1.3 Gse Drive Cvt Pack Plus,Negro,Nafta,4,Automática,1.3,Sedán,500 km,Delantera,5,99 hp,,2521 mm,48 L,2,,,,,,,,,,,,,4364 mm x 1515 mm x 1962 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Strada 1.4 8v Freedom Cd,12.700.000,Fiat,Strada,2024,1.4 8v Freedom Cd,Plateado,Nafta,3,Manual,1.4,Pick-Up,0 km,Delantera,5,85 hp,,2737 mm,55 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,,Hidráulica,,4474 mm x 1554 mm x 1950 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Strada 1.4 8v Freedom Cd,14.000.000,Fiat,Strada,2024,1.4 8v Freedom Cd,Blanco,Nafta,3,Manual,1.4,Pick-Up,0 km,Delantera,5,85 hp,,2737 mm,55 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,,Hidráulica,,4474 mm x 1554 mm x 1950 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Pulse 1.3 Abarth Gse At,38.000.000,Fiat,Pulse,2024,1.3 Abarth Gse At,Plateado,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,,47 L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,17.000.000,Fiat,Cronos,2024,1.3 Drive Mt,Gris,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,4.700,Fiat,Cronos,2024,1.3 Drive Mt,Blanco,Nafta,4,Manual,1.3,Sedán,500 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,23.300.000,Fiat,Cronos,2024,1.3 Drive Mt,Plateado,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,23.300.000,Fiat,Cronos,2024,1.3 Drive Mt,Plateado,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Mobi 1.0 Trekking,3.400,Fiat,Mobi,2024,1.0 Trekking,Plateado,Nafta,5,Manual,1.0,Hatchback,500 km,Delantera,5,70 hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Toro 1.8 Freedom,30.165.000,Fiat,Toro,2024,1.8 Freedom,Gris,Nafta,4,Automática,1.8,Pick-Up,0 km,4x2,5,130 hp,,2990 mm,60 L,4,Sí,Sí,Sí,,,,,,,,,,4915 mm x 1690 mm x 1669 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Strada 1.3 Volcano,19.800.000,Fiat,Strada,2024,1.3 Volcano,Blanco,Nafta,3,Manual,1.3,Pick-Up,0 km,Delantera,5,99 hp,,2737 mm,55 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,,Hidráulica,,4480 mm x 1554 mm x 1950 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Pulse 1.3 Drive Gse Mt,13.500.000,Fiat,Pulse,2023,1.3 Drive Gse Mt,Azul,Nafta,5,Manual,1.3,SUV,0 km,4x2,5,99 hp,,2532 mm,47 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,Sí,Eléctrica,,4099 mm x 1547 mm x 1989 mm,,Sí,,,,,,,,,,,Sí,,,,Sí,,,,,Sí,Sí,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,
Fiat FASTBACK 1.3 Abarth T270 At6,38.000.000,Fiat,FASTBACK,2024,1.3 Abarth T270 At6,Blanco,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,2530 mm,47 L,4,,,,,,,,,,,,,4425 mm x 1547 mm x 1990 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat FASTBACK 1.3 T270 At6,19.000.000,Fiat,FASTBACK,2024,1.3 T270 At6,Plateado,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,2533 mm,47 L,4,,,,,,,,,,,,,4427 mm x 1547 mm x 1990 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Cronos 1.3 Drive Mt,23.300.000,Fiat,Cronos,2024,1.3 Drive Mt,Blanco,Nafta,4,Manual,1.3,Sedán,0 km,Delantera,5,99 hp,,2521 mm,48 L,2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Eléctrica,Sí,4364 mm x 1508 mm x 1724 mm,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Strada 1.4 8v Freedom Cd,6.400,Fiat,Strada,2024,1.4 8v Freedom Cd,Negro,Nafta,3,Manual,1.4,Pick-Up,500 km,Delantera,5,85 hp,,2737 mm,55 L,2,Sí,Sí,Sí,Sí,,,Sí,Sí,,,Hidráulica,,4474 mm x 1554 mm x 1950 mm,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat FASTBACK 1.3 Abarth T270 At6,38.000.000,Fiat,FASTBACK,2024,1.3 Abarth T270 At6,Gris,Nafta,5,Automática,1.3,SUV,0 km,Delantera,5,175 hp,,2530 mm,47 L,4,,,,,,,,,,,,,4425 mm x 1547 mm x 1990 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Toro 1.8 Freedom,18.000,Fiat,Toro,2024,1.8 Freedom,Blanco,Nafta,4,Automática,1.8,Pick-Up,0 km,4x2,5,130 hp,,2990 mm,60 L,4,Sí,Sí,Sí,,,,,,,,,,4915 mm x 1690 mm x 1669 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Mobi 1.0 Trekking,19.500.000,Fiat,Mobi,2024,1.0 Trekking,Plateado,Nafta,5,Manual,1.0,Hatchback,0 km,Delantera,5,70 hp,,2304 mm,47 L,2,,,,,,,,,,,,,3596 mm x 1555 mm x 1931 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Toro 1.3 270 Firefly Turbo Volcano 4x2 At,11.000,Fiat,Toro,2024,1.3 270 Firefly Turbo Volcano 4x2 At,Plateado,Nafta,4,Automática,1.3,Pick-Up,1200 km,4x2,5,175 hp,,2990 mm,60 L,4,Sí,Sí,Sí,,,,,,,,,,4945 mm x 1735 mm x 1845 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
